,id,name,description,date_verified,category_icon_path,category_icon_pin_path,category_icon_pin_closed_path,amenities,country,category,location
0,14423,Little painted desert,"Informal campground with a wonderful view at the sunset on the Little painted desert.
Good LTE with Tmobile. 
Several fire pits ",2021-08-28 00:00:00 UTC,/assets/icons/informal-camp-f07e54b9f95dac612a043295f5c02e5591f33428b6d68a6c46de38ba5a1aade3.png,/assets/icons/informal-camp-pin-b1d3eb9535e3e2b5a3879eb3e4b7085699fd9c3a87e3b12180db59c6b56341c7.png,/assets/icons/informal-camp-pin_closed-ef968ee9662ffab9572dc9d824ea12f85195ce07e793e39732eb1a88fb6f050f.png,"{'Open': 'Yes', 'Electricity': 'No', 'Wifi': 'No', 'Kitchen': 'No', 'Restaurant': 'No', 'Showers': 'No', 'Water': 'No', 'Toilets': 'No', 'Big Rig Friendly': 'Yes', 'Tent Friendly': 'Yes', 'Pet Friendly': 'Yes'}",United States,Informal Campsite,"{'latitude': 35.1559, 'longitude': -110.47318, 'altitude': 0.0, 'horizontal_accuracy': None, 'vertical_accuracy': None}"
1,21023,Flying J,"Truck stop. All the amenities you could ask for. There is a Denny’s inside. Plus hot food and dessert options from flying j. Bathrooms, of course gas and snacks. Shower and laundry for a price - I didn’t check it out. A decent parking lot. I parked along the back grassy area. I heard a couple trains before I fell asleep. About 6 RV spots available as well.",2021-11-05 00:00:00 UTC,/assets/icons/informal-camp-f07e54b9f95dac612a043295f5c02e5591f33428b6d68a6c46de38ba5a1aade3.png,/assets/icons/informal-camp-pin-b1d3eb9535e3e2b5a3879eb3e4b7085699fd9c3a87e3b12180db59c6b56341c7.png,/assets/icons/informal-camp-pin_closed-ef968ee9662ffab9572dc9d824ea12f85195ce07e793e39732eb1a88fb6f050f.png,"{'Open': 'Yes', 'Electricity': 'Unknown', 'Wifi': 'Unknown', 'Kitchen': 'Unknown', 'Restaurant': 'Unknown', 'Showers': 'Unknown', 'Water': 'Unknown', 'Toilets': 'Unknown', 'Big Rig Friendly': 'Unknown', 'Tent Friendly': 'Unknown', 'Pet Friendly': 'Unknown'}",United States,Informal Campsite,"{'latitude': 35.015561515497986, 'longitude': -110.67466297197218, 'altitude': 1478.0958251953125, 'horizontal_accuracy': None, 'vertical_accuracy': None}"
2,33402,Rest area,You can take water. FREE,2021-08-13 00:00:00 UTC,/assets/icons/water-9a80c69888775bbfc56b91b913fa96f406a09ac964a0bdd85f7c0566b7abcd70.png,/assets/icons/water-pin-29c66b884f7b0b777c7c2c747a0b0037ee636413701bf27bd7231633f27864d7.png,/assets/icons/water-pin_closed-f8599309a1bc2b8d668d31ebfd308cc988fc8686ae55f54b8b2648fd14957a9b.png,{'Open': 'Yes'},United States,Water,"{'latitude': 35.10437963999352, 'longitude': -110.99363436932768, 'altitude': 1578.09521484375, 'horizontal_accuracy': None, 'vertical_accuracy': None}"
3,72832,Hopi Cultural Center,"At the parking of Cultural Center and restaurant, on the left, there is an area with many places to camp. Lot of camper already here but many places to sleep. Close to the highway, a little noisy but it’s ok. The road is very easy.
You can pitch your tent.
It’s free.",2018-10-04 00:00:00 UTC,/assets/icons/informal-camp-f07e54b9f95dac612a043295f5c02e5591f33428b6d68a6c46de38ba5a1aade3.png,/assets/icons/informal-camp-pin-b1d3eb9535e3e2b5a3879eb3e4b7085699fd9c3a87e3b12180db59c6b56341c7.png,/assets/icons/informal-camp-pin_closed-ef968ee9662ffab9572dc9d824ea12f85195ce07e793e39732eb1a88fb6f050f.png,"{'Open': 'Yes', 'Electricity': 'No', 'Wifi': 'No', 'Kitchen': 'No', 'Restaurant': 'Yes', 'Showers': 'No', 'Water': 'No', 'Toilets': 'No', 'Big Rig Friendly': 'Yes', 'Tent Friendly': 'Yes', 'Pet Friendly': 'Yes'}",United States,Informal Campsite,"{'latitude': 35.84524612877131, 'longitude': -110.52933937880259, 'altitude': 1920.4495640211837, 'horizontal_accuracy': None, 'vertical_accuracy': None}"
4,75509,Maverik,"Free water and dump station. Lots of room to turn around, and cheap gas. Water is in between the pumps in the ‘truck/RV’ area.
Free air station at the Truck area. ",2020-12-22 00:00:00 UTC,/assets/icons/water-9a80c69888775bbfc56b91b913fa96f406a09ac964a0bdd85f7c0566b7abcd70.png,/assets/icons/water-pin-29c66b884f7b0b777c7c2c747a0b0037ee636413701bf27bd7231633f27864d7.png,/assets/icons/water-pin_closed-f8599309a1bc2b8d668d31ebfd308cc988fc8686ae55f54b8b2648fd14957a9b.png,{'Open': 'Yes'},United States,Water,"{'latitude': 35.041477941009255, 'longitude': -110.69741011607525, 'altitude': 1473.2753562927246, 'horizontal_accuracy': None, 'vertical_accuracy': None}"
5,116475,Standing on the Corner ,Standing on the corner in Winslow Arizona. Great place for a photo op and shopping on historical Route 66,2019-11-19 00:00:00 UTC,/assets/icons/tourist-6c904f82899d5bc06713f096d9a0e948ba3bb86e19bdd0b7cdcc0894e4176847.png,/assets/icons/tourist-pin-bd5e964a6313d4779a8dcf203a1044c0f3e7ad2bce366209e87d2bfdf78dbb27.png,/assets/icons/tourist-pin_closed-5880e4cd788379c35e798dbff905fba19204a60f412be9fe716faa48f2a719e2.png,{'Open': 'Yes'},United States,Tourist Attraction,"{'latitude': 35.0235, 'longitude': -110.6981, 'altitude': 1478.2799526950416, 'horizontal_accuracy': None, 'vertical_accuracy': None}"
6,118276,"Flying J, Winslow","Truck stop and rest area. Potable water is available on a blue stand pipe to the left of the car/RV entrance. Plenty of room and a hose provided.
dumping $10. 
Water Free to use ",2021-05-15 00:00:00 UTC,/assets/icons/water-9a80c69888775bbfc56b91b913fa96f406a09ac964a0bdd85f7c0566b7abcd70.png,/assets/icons/water-pin-29c66b884f7b0b777c7c2c747a0b0037ee636413701bf27bd7231633f27864d7.png,/assets/icons/water-pin_closed-f8599309a1bc2b8d668d31ebfd308cc988fc8686ae55f54b8b2648fd14957a9b.png,{'Open': 'Yes'},United States,Water,"{'latitude': 35.015761717808786, 'longitude': -110.67492486637978, 'altitude': 1478.7899826098533, 'horizontal_accuracy': None, 'vertical_accuracy': None}"
7,120264,Homolovi State Park,"About 2 miles NE of Winslow, easy access off I-40. Remarkably quiet, open, spacious, clean showers/toilet, well maintained by Arizona Parks.
$18 for dry camping. Full hook ups available too, plenty of sites, all with picnic benches fire pits & paved with small trees & shrubs between sites
Seems a lot of folks have found this spot to overnight in.",2021-04-08 00:00:00 UTC,/assets/icons/camping-ba93161fdbc528d499c6dd5debc56e188b989079b6c6a742b6a0ff9b94ec09f6.png,/assets/icons/camping-pin-fbff58852a525ae180b78f8f954e38eb0035d326550b8887e7e47dd6133aa493.png,/assets/icons/camping-pin_closed-c72f8255262c0ab2532692f447733aae42c2477ee666c1064bec57cbb3e42254.png,"{'Open': 'Yes', 'Electricity': 'Yes - At Sites', 'Wifi': 'No', 'Kitchen': 'No', 'Restaurant': 'No', 'Showers': 'Hot', 'Water': 'Potable', 'Toilets': 'Running Water', 'Big Rig Friendly': 'Yes', 'Tent Friendly': 'Yes', 'Pet Friendly': 'Yes', 'Sanitation Dump Station': 'Yes'}",United States,Established Campground,"{'latitude': 35.03121114273639, 'longitude': -110.64811154513389, 'altitude': 1486.777992293372, 'horizontal_accuracy': None, 'vertical_accuracy': None}"
8,129025,Mojo coffee Co.,"Best place to rest a bit of the trip, with internet and great service.",2020-03-18 00:00:00 UTC,/assets/icons/restaurant-7eb912580005b85ece1f902e19fdc97006d14bbbe19ad5c999ca709f8207191a.png,/assets/icons/restaurant-pin-c63fc7e70f7a4a173e429347b6ac6a6718c1c03d9e7baa7db75fdc898004d16c.png,/assets/icons/restaurant-pin_closed-c5af0cea9b93326e1f2a584c90999af7555427b0f0c1afa014afac22539e0269.png,{'Open': 'Yes'},United States,Restaurant,"{'latitude': 35.03842243, 'longitude': -110.69763877, 'altitude': 1454.0, 'horizontal_accuracy': None, 'vertical_accuracy': None}"
9,143276,Winslow Visitor’s Center,"Parking lot that you could pull into for the night.  Just north of the train tracks. Train runs all night, but could sleep through the noise.",2021-12-06 00:00:00 UTC,/assets/icons/wild-camp-f910ec32e5acbce82a3719ca8d1e4b9970f8682688f72d9d7978b27f628ebc61.png,/assets/icons/wild-camp-pin-e04fcb3c10cd4d39ab9eeaa3597ea3c567c95ee51b585cd3296caa6e4f5d85e1.png,/assets/icons/wild-camp-pin_closed-d099f816420d8b3102180bb85fadd97dff3e2be4bcc391f293909246111552d0.png,"{'Open': 'Yes', 'Electricity': 'No', 'Wifi': 'No', 'Kitchen': 'No', 'Restaurant': 'No', 'Showers': 'No', 'Water': 'No', 'Toilets': 'No', 'Big Rig Friendly': 'Yes', 'Tent Friendly': 'No', 'Pet Friendly': 'Yes'}",United States,Wild Camping,"{'latitude': 35.025611579380865, 'longitude': -110.7043818916782, 'altitude': 1365.6696612482915, 'horizontal_accuracy': None, 'vertical_accuracy': None}"
